ref,archive,media_count,classification,building_id,class_method,verification,third_party_credit_flag,visual_file_inspected
F0001,False,1,BATIMENT_NOMME_AUTO,palais-maestro-serrano,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0002,False,1,BATIMENT_NOMME_AUTO,chiosco-ribaudo,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0003,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F0004,False,1,BATIMENT_NOMME_AUTO,farmacia-carme,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0005,False,1,BATIMENT_NOMME_AUTO,villino-florio,named_alias,NOM_EXPLICITE_LEGENDE,False,True
F0006,False,1,BATIMENT_NOMME_AUTO,gare-nord-valence,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0007,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0008,False,1,BATIMENT_NOMME_AUTO,maison-bergeret,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0009,False,1,BATIMENT_NOMME_AUTO,maison-huot,named_alias,SERIE_MULTIVUES_VERIFIEE_PARTIELLEMENT,False,False
F0010,False,1,AMBIGU_IDENTITE,,named_alias,A_EXAMINER,False,False
F0011,False,1,BATIMENT_NOMME_AUTO,villa-empain,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0012,False,1,BATIMENT_NOMME_AUTO,casina-cinese,named_alias,SERIE_MULTIVUES_VERIFIEE_PARTIELLEMENT,False,False
F0013,False,1,BATIMENT_NOMME_AUTO,villino-florio,named_alias,NOM_EXPLICITE_LEGENDE,False,True
F0014,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F0015,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0016,False,1,BATIMENT_NOMME_AUTO,gare-nord-valence,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0017,False,1,BATIMENT_NOMME_AUTO,villino-florio,named_alias,NOM_EXPLICITE_LEGENDE,False,True
F0018,False,1,BATIMENT_NOMME_AUTO,villino-florio,named_alias,NOM_EXPLICITE_LEGENDE,False,True
F0019,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0020,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0021,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0022,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0023,False,1,BATIMENT_NOMME_AUTO,maison-beeckman,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0024,False,1,BATIMENT_NOMME_AUTO,casa-segarra,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0025,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0026,False,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
F0027,False,1,BATIMENT_NOMME_AUTO,villino-florio,named_alias,NOM_EXPLICITE_LEGENDE,False,True
F0028,False,1,BATIMENT_NOMME_AUTO,maison-huot,named_alias,SERIE_MULTIVUES_VERIFIEE_PARTIELLEMENT,False,False
F0029,False,3,BATIMENT_NOMME_AUTO,casina-cinese,named_alias,SERIE_MULTIVUES_VERIFIEE_PARTIELLEMENT,False,True
F0030,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0031,False,1,BATIMENT_NOMME_AUTO,casina-cinese,named_alias,SERIE_MULTIVUES_VERIFIEE_PARTIELLEMENT,False,False
F0032,False,1,BATIMENT_NOMME_AUTO,mercado-colon,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0033,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0034,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0035,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0036,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0037,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0038,False,1,BATIMENT_NOMME_AUTO,palau-mar-valence,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0039,False,1,BATIMENT_NOMME_AUTO,engelbrektskyrkan,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0040,False,1,BATIMENT_NOMME_AUTO,mercado-colon,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0041,False,1,BATIMENT_NOMME_AUTO,casa-punt-gantxo,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0042,False,1,AMBIGU_LIEU_OU_DESCRIPTION,,generic_rule,A_EXAMINER,False,False
F0043,False,1,SUJET_INCONNU,,unresolved,NON_IDENTIFIE,False,False
F0044,False,1,BATIMENT_NOMME_AUTO,dramaten-stockholm,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0045,False,1,BATIMENT_NOMME_AUTO,centralbadet,named_alias,NOM_EXPLICITE_LEGENDE,False,False
F0046,False,1,AUTRE_CONTENU,,object_rule,CATEGORIE_AUTO,False,False
